id,predictions
85,0
135,0
176,0
42,0
224,0
41,0
96,0
225,0
249,0
196,0
109,0
141,0
146,0
51,0
58,0
205,0
219,0
193,0
77,0
15,0
285,0
162,0
44,0
67,0
118,0
19,0
235,0
206,0
140,0
145,0
101,0
92,0
125,0
253,0
45,0
263,0
75,0
165,0
291,0
102,0
195,0
91,0
259,0
173,0
4,0
29,0
100,0
10,0
11,0
74,0
30,0
110,0
35,0
230,0
113,0
82,0
144,0
292,0
64,0
88,0
40,0
71,0
49,0
70,0
76,0
120,0
6,0
99,0
211,0
261,0
181,0
167,0
255,0
69,0
279,0
267,0
288,0
148,0
151,0
39,0
159,0
61,0
32,0
260,0
79,0
250,0
154,0
257,0
134,0
213,0
218,0
89,0
217,0
25,0
228,0
163,0
281,0
124,0
121,0
243,0
183,0
215,0
81,0
216,0
84,0
78,0
23,0
265,0
270,0
143,0
142,0
21,0
276,0
175,0
248,0
286,0
114,0
65,0
117,0
239,0
241,0
129,0
184,0
138,0
164,0
139,0
38,0
126,0
169,0
60,0
226,0
155,0
86,0
272,0
199,0
16,0
72,0
161,0
229,0
152,0
274,0
202,0
27,0
282,0
177,0
20,0
43,0
107,0
28,0
284,0
295,0
54,0
137,0
191,0
268,0
252,0
128,0
160,0
55,0
271,0
59,0
236,0
90,0
73,0
180,0
247,0
80,0
17,0
48,0
185,0
3,0
153,0
0,0
95,0
273,0
246,0
194,0
123,0
156,0
122,0
251,0
227,0
12,0
150,0
5,0
56,0
171,0
198,0
158,0
179,0
94,0
157,0
240,0
223,0
221,0
208,0
106,0
62,0
147,0
232,0
297,0
190,0
182,0
132,0
50,0
188,0
37,0
289,0
53,0
36,0
244,0
93,0
108,0
238,0
105,0
262,0
87,0
277,0
237,0
283,0
186,0
1,0
7,0
9,0
189,0
293,0
57,0
222,0
172,0
136,0
201,0
2,0
119,0
287,0
299,0
83,0
8,0
26,0
233,0
264,0
280,0
24,0
275,0
296,0
178,0
52,0
131,0
220,0
14,0
115,0
266,0
203,0
210,0
242,0
130,0
103,0
298,0
33,0
168,0
234,0
209,0
214,0
174,0
204,0
200,0
116,0
166,0
170,0
112,0
245,0
207,0
97,0
22,0
254,0
256,0
47,0
212,0
127,0
133,0
63,0
68,0
46,0
231,0
66,0
258,0
31,0
290,0
278,0
187,0
34,0
197,0
18,0
269,0
192,0
111,0
294,0
98,0
13,0
104,0
149,0
